Player,Year,height,weight,hand,arm,forty,ten_split,vertical,broad,cone,shuttle,bench,bmi,speed_score,burst_score,agility_score,n_drills,elite_forty,elite_burst,elite_agility,big_bodied,pick,undrafted,log_pick,round,nfl_entry_age,has_college,best_dom,final_dom,first_dom,best_ydshare,final_ydshare,career_yds,best_yds,career_rec,career_ypr,best_long,td_rate,rush_yds_career,n_seasons,n_seasons_20,n_seasons_30,alpha,final_rank,dom_growth,final_spike,college_entry_age,breakout_age,dom_age19,dom_age20,age_final_season,early_declare,best_ppa,final_ppa,avg_ppa,best_ppa_pass,best_usage,final_usage,team_sp_off,team_sp_overall,team_sp_def,team_sos,team_sp_off_final,team_recruit_rank,power5,conf_g5,n_teams,col_qb_ypa,col_qb_td,col_qb_drafted,was_returner,transferred,recruit_stars,recruit_rating,recruit_rank,blue_chip,ret_yds,ret_td,ret_avg,height_p,weight_p,hand_p,arm_p,forty_p,ten_split_p,vertical_p,broad_p,cone_p,shuttle_p,speed_score_p,burst_score_p,ras,explosion_p,catch_radius,prod_p,recruit_p,prod_over_recruit
Ja'Marr Chase,2021,72.38,201.0,9.625,30.75,4.34,,41.0,132.0,6.96,3.99,,26.97206669445386,113.30971182645204,52.0,10.95,7,1,1,0,0,5.0,0,1.6094379124341003,1.0,20.83778234086242,1,0.3116767901073302,0.3116767901073302,0.1409288968112497,0.2954847277556441,0.2954847277556441,2093.0,1780.0,107.0,19.560747663551403,78.0,0.21495327102803738,5.0,2.0,1.0,1.0,1.0,1.0,0.17074789329608048,5.686900958466453,18.0,19.62217659137577,0.1409288968112497,0.3116767901073302,19.62217659137577,1.0,1.06,1.06,0.881,1.09,0.117,0.117,48.9,33.1,17.7,,48.9,15.0,1.0,0.0,1.0,10.8,60.0,1.0,0.0,0.0,4.0,0.9589,84.0,1.0,,,,0.40569395017793597,0.49377224199288255,0.6592592592592592,0.22592592592592592,0.946911196911197,,0.9456740442655935,0.9193877551020408,0.5653950953678474,0.9896373056994818,0.9514563106796117,0.9512448132780082,73.22143544236167,0.9388393700157488,0.5591382949071786,0.5187165775401069,0.8089171974522293,-0.2902006199121224
D.J. Moore,2018,72.0,210.0,9.63,31.63,4.42,1.53,39.5,132.0,6.95,4.07,15.0,28.47800925925926,110.04244036771127,50.5,11.02,8,1,1,0,0,24.0,0,3.1780538303479458,1.0,20.71731690622861,1,0.5329037800687285,0.5329037800687285,0.1853250478011472,0.5324742268041237,0.5324742268041237,2027.0,1033.0,146.0,13.883561643835616,92.0,0.11643835616438356,125.0,3.0,2.0,2.0,1.0,1.0,0.3475787322675813,1.6216640502354789,18.0,19.50444900752909,0.1853250478011472,0.3374622356495468,20.503764544832308,1.0,0.466,0.466,0.4116666666666667,0.437,0.173,0.173,26.7,-4.5,28.3,0.781,26.7,41.0,1.0,0.0,1.0,5.6,10.0,0.0,1.0,0.0,3.0,0.89,352.0,0.0,487.0,0.0,16.233333333333334,0.34341637010676157,0.7402135231316725,0.687037037037037,0.4601851851851852,0.7847490347490348,0.616710875331565,0.8832997987927566,0.9193877551020408,0.5858310626702997,0.9378238341968912,0.887378640776699,0.8941908713692946,72.83519990374364,0.8966887315571656,0.593484597780435,0.9732620320855615,0.5286624203821656,0.4445996117033959
Amari Cooper,2015,72.88,211.0,10.0,31.5,4.42,1.61,33.0,120.0,6.71,3.98,,27.926792128407403,110.5664519885099,43.0,10.69,7,1,0,1,0,4.0,0,1.3862943611198906,1.0,20.542094455852155,1,0.4719794344473008,0.4719794344473008,0.3412463535280937,0.4439588688946015,0.4439588688946015,3463.0,1727.0,228.0,15.18859649122807,99.0,0.13596491228070176,51.0,3.0,2.0,2.0,1.0,1.0,0.1307330809192071,1.727,18.0,18.32991101984942,0.3412463535280937,0.4719794344473008,20.32854209445585,1.0,0.907,0.769,0.8380000000000001,0.885,0.17,0.17,44.5,34.3,10.7,0.793,44.5,1.0,1.0,0.0,1.0,8.9,28.0,0.0,0.0,0.0,4.0,0.9776,45.0,1.0,,,,0.46174377224199287,0.7588967971530249,0.8787037037037037,0.41944444444444445,0.7847490347490348,0.05702917771883289,0.20020120724346077,0.29183673469387755,0.9168937329700273,0.9935233160621761,0.8970873786407767,0.2053941908713693,57.21252908743934,0.46304177352603837,0.49002328190840044,0.946524064171123,0.8906581740976646,0.055865890073458435
John Ross,2017,70.75,188.0,8.75,31.5,4.22,1.46,37.0,133.0,,4.33,,26.403426188365444,118.55995917251086,48.083333333333336,,6,1,1,0,0,9.0,0,2.1972245773362196,1.0,21.097878165639973,1,0.3395593166589343,0.3395593166589343,0.0507328605200945,0.3174165056582942,0.3174165056582942,1729.0,1150.0,114.0,15.166666666666666,91.0,0.19298245614035087,195.0,3.0,1.0,1.0,1.0,1.0,0.2888264561388398,3.0997304582210243,17.0,20.88432580424367,0.1714895056276893,0.1714895056276893,20.88432580424367,1.0,0.643,0.599,0.622,0.846,0.139,0.139,40.2,26.7,13.9,0.874,40.2,26.0,1.0,0.0,1.0,8.8,43.0,0.0,1.0,0.0,4.0,0.9032,277.0,1.0,2090.0,4.0,23.22222222222222,0.18861209964412812,0.21352313167259787,0.09166666666666666,0.41944444444444445,0.9980694980694981,0.980106100795756,0.6891348088531187,0.9418367346938775,,0.344559585492228,0.9805825242718447,0.7448132780082988,59.93044429647691,0.8705180226062804,0.3472145049020895,0.661319073083779,0.5828025477707006,0.0785165253130784
N'Keal Harry,2019,74.88,228.0,9.5,33.0,4.53,1.55,38.5,122.0,7.05,4.28,27.0,28.586336428884508,108.28593095867697,48.666666666666664,11.33,8,0,1,0,1,32.0,0,3.4657359027997265,1.0,21.0403832991102,1,0.4047158903204493,0.4047158903204493,0.2621644969463195,0.3594317806408986,0.3594317806408986,2889.0,1142.0,213.0,13.56338028169014,70.0,0.10328638497652583,144.0,3.0,3.0,2.0,1.0,1.0,0.1425513933741298,0.9527145359019265,18.0,18.82819986310746,0.2621644969463195,0.3622571772391266,20.826830937713893,1.0,0.757,0.699,0.657,0.801,0.138,0.138,33.9,1.0,33.1,0.873,33.9,24.0,1.0,0.0,1.0,8.0,20.0,0.0,1.0,0.0,4.0,0.9735,53.0,1.0,165.0,1.0,11.785714285714286,0.8051601423487544,0.9813167259786477,0.5944444444444444,0.850925925925926,0.4092664092664093,0.39389920424403185,0.8118712273641852,0.4204081632653061,0.3787465940054496,0.47020725388601037,0.8601941747572815,0.7842323651452282,64.67227192193063,0.6974911884622577,0.7656004350208275,0.857397504456328,0.881104033970276,-0.023706529513948027
DeVante Parker,2015,74.63,209.0,9.25,33.25,4.45,1.51,36.5,125.0,,,17.0,26.379996153788774,106.59485369673038,46.916666666666664,,6,1,0,0,0,14.0,0,2.6390573296152584,1.0,21.946611909650922,1,0.290220925571244,0.2479291384929009,0.2108230744194061,0.2577630388905638,0.2577630388905638,2775.0,885.0,156.0,17.78846153846154,75.0,0.21153846153846154,0.0,4.0,4.0,0.0,1.0,1.0,0.037106064073494816,0.9661016949152542,18.0,18.732375085557837,0.2108230744194061,0.2818336653098929,21.73305954825462,0.0,1.116,0.901,1.0085000000000002,1.116,0.157,0.157,39.1,24.2,15.2,0.958,34.0,45.0,0.0,1.0,1.0,9.3,31.0,1.0,0.0,0.0,3.0,0.8894,309.0,0.0,,,,0.7677935943060499,0.7170818505338078,0.40555555555555556,0.8888888888888888,0.668918918918919,0.8143236074270557,0.6247484909456741,0.6551020408163265,,,0.8262135922330097,0.6358921161825726,70.04518655807858,0.7020213746650034,0.6717466324240421,0.4474153297682709,0.5626326963906582,-0.11521736662238724
Jalen Reagor,2020,70.63,206.0,9.5,31.38,4.47,1.52,42.0,138.0,7.31,4.46,17.0,29.029805956059512,103.19701217499924,53.5,11.77,8,0,1,0,0,21.0,0,3.044522437723423,1.0,20.996577686516083,1,0.4611211176031279,0.2916666666666666,0.226797684973144,0.3928304705003734,0.25,2239.0,1052.0,147.0,15.231292517006803,93.0,0.14965986394557823,332.0,3.0,3.0,1.0,1.0,1.0,0.06486898169352256,0.5807984790874525,18.0,18.784394250513348,0.226797684973144,0.4611211176031279,20.78302532511978,1.0,0.769,0.299,0.482,0.83,0.15,0.099,25.7,6.9,16.9,0.865,28.8,28.0,1.0,0.0,1.0,6.5,9.0,0.0,1.0,0.0,4.0,0.9566,96.0,1.0,724.0,2.0,19.05263157894737,0.17704626334519574,0.6548042704626335,0.5944444444444444,0.38333333333333336,0.6023166023166023,0.7320954907161804,0.9728370221327968,0.9918367346938776,0.07493188010899182,0.12435233160621761,0.7165048543689321,0.9875518672199171,58.433792456242685,0.8937262037318687,0.5319152658139426,0.928698752228164,0.7823779193205945,0.14632083290756948
Phillip Dorsett,2015,69.75,185.0,9.38,30.25,4.33,1.54,37.0,122.0,6.85,4.11,13.0,26.732441772330777,105.2567942126949,47.166666666666664,10.96,8,1,1,1,0,29.0,0,3.367295829986474,1.0,21.987679671457904,1,0.3713870610663551,0.3713870610663551,0.0502009062152688,0.307991513437058,0.307991513437058,2132.0,871.0,121.0,17.619834710743802,79.0,0.14049586776859505,2.0,4.0,2.0,1.0,1.0,1.0,0.3211861548510863,1.0344418052256532,18.0,19.77549623545517,0.0502009062152688,0.2175637238814134,21.7741273100616,0.0,1.384,0.919,1.1515,1.384,0.084,0.084,35.0,13.9,21.3,0.86,35.0,14.0,1.0,0.0,1.0,8.5,26.0,1.0,1.0,0.0,3.0,0.8761,391.0,0.0,613.0,0.0,10.389830508474576,0.09786476868327403,0.1619217081850534,0.5064814814814815,0.1259259259259259,0.9584942084942085,0.4946949602122016,0.6891348088531187,0.4204081632653061,0.7534059945504087,0.8937823834196891,0.7864077669902912,0.6659751037344398,54.620810614961655,0.6319835797029053,0.35485174623595006,0.7700534759358288,0.5042462845010616,0.2658071914347673
CeeDee Lamb,2020,74.0,198.0,,,4.5,,34.5,124.0,,,11.0,25.41891891891892,96.57064471879286,44.833333333333336,,4,0,0,0,0,17.0,0,2.833213344056216,1.0,20.733744010951405,1,0.353786423310919,0.353786423310919,0.1541324483837768,0.3186839577329491,0.3186839577329491,3289.0,1327.0,172.0,19.122093023255815,86.0,0.18604651162790697,20.0,3.0,2.0,1.0,1.0,1.0,0.19965397492714218,1.148917748917749,18.0,19.520876112251884,0.1541324483837768,0.2555877196139627,20.520191649555098,1.0,1.118,1.013,1.0533333333333335,1.144,0.116,0.116,46.1,22.9,24.9,,46.1,9.0,1.0,0.0,1.0,11.3,32.0,1.0,1.0,0.0,4.0,0.9358,148.0,1.0,475.0,0.0,8.482142857142858,0.6708185053380783,0.4225978647686833,,,0.5057915057915058,,0.35714285714285715,0.573469387755102,,,0.458252427184466,0.3921161825726141,48.28841043647581,0.4629548906941417,0.5139806812404677,0.7005347593582888,0.7123142250530785,-0.011779465694789715
Skyy Moore,2022,69.63,195.0,10.25,31.0,4.41,1.46,34.5,125.0,7.13,4.32,,28.274644033091022,103.1122465590578,44.916666666666664,11.45,7,1,0,0,0,54.0,0,3.9889840465642745,2.0,21.308692676249144,1,0.4133270034682386,0.4133270034682386,0.1996255023748629,0.391871398240825,0.391871398240825,2483.0,1292.0,170.0,14.605882352941176,74.0,0.09411764705882353,12.0,3.0,1.0,1.0,1.0,1.0,0.21370150109337568,1.6109725685785536,18.0,21.09514031485284,0.1996255023748629,0.1996255023748629,21.09514031485284,1.0,1.045,1.045,0.7636666666666666,1.05,0.119,0.119,33.1,0.6,29.0,,33.1,86.0,0.0,1.0,1.0,9.1,23.0,0.0,1.0,0.0,,,,,21.0,0.0,5.25,0.09074733096085409,0.3540925266903915,0.9537037037037037,0.275,0.8175675675675675,0.980106100795756,0.35714285714285715,0.6551020408163265,0.2561307901907357,0.37823834196891193,0.7106796116504854,0.4066390041493776,51.95958229697473,0.5743081698698896,0.41914847295185376,0.8680926916221033,,
