Player,Year,win3_full,win5_full,played3,best3,top23,top33,total3,games3,seasons3,played5,best5,top25,top35,total5,games5,seasons5
Ja'Marr Chase,2021,1,1,1,20.2,19.058823529411764,18.17921568627451,809.72,45,3,1,23.705882352941178,21.95294117647059,21.16862745098039,1526.3200000000002,78,5
D.J. Moore,2018,1,1,1,15.366666666666667,14.733333333333334,13.134722222222223,601.0,46,3,1,15.366666666666667,14.733333333333334,14.479084967320262,1037.6,80,5
Amari Cooper,2015,1,1,1,14.518749999999999,13.94375,13.067261904761905,604.6,46,3,1,15.40625,14.962499999999999,14.763888888888888,1066.6,77,5
John Ross,2017,1,1,1,11.875,9.202884615384615,9.202884615384615,179.1,24,3,1,11.875,9.202884615384615,7.653774928774929,223.79999999999998,35,5
N'Keal Harry,2019,1,1,1,5.838461538461539,5.733516483516484,4.948270248270249,145.70000000000002,29,3,1,5.838461538461539,5.733516483516484,5.189010989010989,170.3,35,4
DeVante Parker,2015,1,1,1,11.675,10.984166666666667,10.65611111111111,377.8,36,3,1,15.3875,13.53125,12.451944444444445,684.9,63,5
Jalen Reagor,2020,1,1,1,7.927272727272728,6.260695187165775,5.070463458110517,192.20000000000002,38,3,1,7.927272727272728,6.260695187165775,5.229352346999406,235.4,54,5
Phillip Dorsett,2015,1,1,1,6.586666666666667,5.484242424242424,4.845050505050505,179.1,35,3,1,9.163636363636364,8.304545454545455,7.731919191919192,361.8,57,5
CeeDee Lamb,2020,1,1,1,17.741176470588233,16.145588235294117,15.299142156862743,752.0999999999999,49,3,1,23.835294117647063,20.788235294117648,19.7121568627451,1420.7,81,5
Skyy Moore,2022,1,0,1,4.130769230769231,3.82967032967033,3.82967032967033,103.1,29,3,1,4.130769230769231,3.82967032967033,2.8433096315449258,117.89999999999999,46,4
Elijah Moore,2021,1,1,1,12.563636363636363,10.409943181818182,9.037581168831169,358.4,41,3,1,12.563636363636363,10.409943181818182,9.310550356506239,507.9,67,5
Devin Funchess,2015,1,1,1,12.1875,9.415625,8.327083333333333,387.4,46,3,1,12.1875,10.483035714285714,9.20327380952381,516.5,61,5
Tre'Quan Smith,2018,1,1,1,7.93076923076923,7.838461538461538,7.605641025641025,275.20000000000005,36,3,1,8.77,8.350384615384614,8.148974358974359,415.70000000000005,55,5
Chris Godwin,2017,1,1,1,19.72142857142857,15.648214285714285,12.487698412698412,553.8,45,3,1,19.72142857142857,18.517857142857142,17.65079365079365,987.1999999999999,71,5
Tyler Boyd,2016,1,1,1,15.792857142857143,11.774553571428571,9.733035714285714,401.7,40,3,1,15.792857142857143,14.862053571428572,14.188924603174604,817.24,71,5
