key,Year,Player,draft_pick,college,nfl_team,athlete_id,src_draft,src_combine,src_proday,drafted
adonai mitchell,2024,Adonai Mitchell,52.0,Texas,IND,4597500.0,1,1,1,True
ainias smith,2024,Ainias Smith,152.0,Texas A&M,PHI,4428532.0,1,1,1,True
andrei iosivas,2023,Andrei Iosivas,206.0,Princeton,CIN,,1,1,1,True
andrew armstrong,2025,Andrew Armstrong,,Arkansas,,5093923.0,0,1,1,False
anthony gould,2024,Anthony Gould,142.0,Oregon St.,IND,4429684.0,1,1,1,True
antoine green,2023,Antoine Green,219.0,North Carolina,DET,4373266.0,1,1,1,True
antwane wells,2025,Antwane Wells Jr.,,Mississippi,,4696062.0,0,1,1,False
arian smith,2025,Arian Smith,110.0,Georgia,NYJ,4429105.0,1,1,1,True
at perry,2023,A.T. Perry,195.0,Wake Forest,NOR,4362019.0,1,1,1,True
beaux collins,2025,Beaux Collins,,Notre Dame,,4431210.0,0,1,1,False
brenden rice,2024,Brenden Rice,225.0,USC,LAC,4686781.0,1,1,1,True
brian thomas,2024,Brian Thomas,23.0,LSU,JAX,4432773.0,1,1,1,True
bru mccoy,2025,Bru McCoy,,Tennessee,,4426337.0,0,1,1,False
bryce fordwheaton,2023,Bryce Ford-Wheaton,,West Virginia,,,0,1,1,False
bub means,2024,Bub Means,170.0,Pittsburgh,NOR,4427985.0,1,1,1,True
casey washington,2024,Casey Washington,187.0,Illinois,ATL,,1,0,0,True
cedric tillman,2023,Cedric Tillman,74.0,Tennessee,CLE,4369863.0,1,1,1,True
charlie jones,2023,Charlie Jones,131.0,Purdue,CIN,4257188.0,1,1,1,True
chimere dike,2025,Chimere Dike,103.0,Florida,TEN,4431268.0,1,1,1,True
cj johnson,2023,CJ Johnson,,East Carolina,,,0,1,1,False
cleveland harris,2025,Cleveland Harris,55.0,Mississippi,,,0,1,0,False
colton dowell,2023,Colton Dowell,228.0,UT Martin,TEN,,1,0,0,True
cornelius johnson,2024,Cornelius Johnson,253.0,Michigan,LAC,4426479.0,1,1,1,True
daniel jackson,2025,Daniel Jackson,,Minnesota,,4430875.0,0,1,1,False
daquan felton,2025,Da'Quan Felton,,Virginia Tech,,4575348.0,0,1,1,False
demario douglas,2023,DeMario Douglas,210.0,Liberty,NWE,4427095.0,1,1,1,True
