Player,Year,era,is_udfa,udfa_type,tier,rbpi_post,rbpi_pre,raw_post,raw_pre,diamond_score,is_diamond,is_star_pre,is_star_post,low_conf,low_conf_reason,actual_fantasy_pctl,pick,nfl_entry_age,breakout_age,best_dom,best_rec_ydshare,career_ypc,avg_ppa,explosion_p,best_scrim_yds,best_rush_share,recruit_stars,similar
Melvin Gordon,2015,historical,0,,10,0.9803921568627451,0.8431372549019608,74.15942978697484,10.96033265705912,0.8452690733770091,0,0,1,0,,0.9517543859649122,15.0,21.71937029431896,20.50650239561944,0.4703752763779057,0.0734870317002881,7.789223454833597,0.294,0.6350829768868422,2740.0,0.5418641390205371,4.0,"[{'p': 'Chuba Hubbard', 'y': 2021, 'sim': 64.0, 'fant': 0.711}, {'p': 'Jeremiyah Love', 'y': 2026, 'sim': 58.0, 'fant': None}, {'p': 'Rashaad Penny', 'y': 2018, 'sim': 57.0, 'fant': 0.566}, {'p': 'Isaiah Davis', 'y': 2024, 'sim': 57.0, 'fant': None}, {'p': 'Tevin Coleman', 'y': 2015, 'sim': 56.0, 'fant': 0.838}, {'p': 'Bijan Robinson', 'y': 2023, 'sim': 55.0, 'fant': 0.978}]"
T.J. Yeldon,2015,historical,0,,10,0.9150326797385621,0.6993464052287581,53.05104084018203,10.83636328612247,0.3612582030450205,0,0,1,0,,0.7631578947368421,36.0,21.24845995893224,19.0362765229295,0.2403117236724981,0.056656346749226,5.767361111111111,0.2195,0.4334564498308235,1418.0,0.4579646017699115,5.0,"[{'p': 'Zach Charbonnet', 'y': 2023, 'sim': 64.0, 'fant': 0.759}, {'p': 'Trey Benson', 'y': 2024, 'sim': 61.0, 'fant': None}, {'p': 'Qadree Ollison', 'y': 2019, 'sim': 60.0, 'fant': 0.346}, {'p': 'Isaiah Davis', 'y': 2024, 'sim': 59.0, 'fant': None}, {'p': 'Isaiah Spiller', 'y': 2022, 'sim': 58.0, 'fant': 0.206}, {'p': 'Ollie Gordon', 'y': 2025, 'sim': 58.0, 'fant': None}]"
Ameer Abdullah,2015,historical,0,,9,0.869281045751634,0.7058823529411765,43.88292058093232,10.857137023737018,0.1349162879435864,0,0,0,0,,0.6359649122807017,54.0,21.5523613963039,19.34017796030116,0.3456008540582114,0.0975698222705839,5.64329643296433,0.215,0.6868454029334488,1922.0,0.487001733102253,3.0,"[{'p': 'Jarquez Hunter', 'y': 2025, 'sim': 62.0, 'fant': None}, {'p': 'Eno Benjamin', 'y': 2020, 'sim': 62.0, 'fant': 0.447}, {'p': 'J.K. Dobbins', 'y': 2020, 'sim': 61.0, 'fant': 0.75}, {'p': 'Sean Tucker', 'y': 2023, 'sim': 60.0, 'fant': 0.456}, {'p': 'Kenneth Dixon', 'y': 2016, 'sim': 59.0, 'fant': 0.658}, {'p': 'Myles Gaskin', 'y': 2019, 'sim': 59.0, 'fant': 0.842}]"
Tevin Coleman,2015,historical,0,,9,0.803921568627451,0.8431372549019608,39.29250666406618,10.96033265705912,0.5897244864886251,1,0,0,0,,0.8377192982456141,73.0,21.711156741957563,20.49828884325804,0.4320283600493218,0.0830878020035356,7.121681415929204,0.1855,0.1496062992125984,2177.0,0.5018587360594795,3.0,"[{'p': 'Chuba Hubbard', 'y': 2021, 'sim': 63.0, 'fant': 0.711}, {'p': 'Rasheen Ali', 'y': 2024, 'sim': 60.0, 'fant': None}, {'p': 'Ronald Jones II', 'y': 2018, 'sim': 58.0, 'fant': 0.803}, {'p': 'Emmett Johnson', 'y': 2026, 'sim': 55.0, 'fant': None}, {'p': 'Jerome Ford', 'y': 2022, 'sim': 55.0, 'fant': 0.754}, {'p': 'Jeremy Langford', 'y': 2015, 'sim': 55.0, 'fant': 0.618}]"
David Johnson,2015,historical,0,,8,0.7254901960784313,0.24836601307189543,31.167056376624174,9.871693942455678,0.523716466005126,1,0,0,1,no reliable college production data (thin CFBD team-season),0.9692982456140351,86.0,23.04449007529089,99.0,,,4.659090909090909,0.0555,0.8855684103536644,356.0,1.0,,"[{'p': 'Zach Zenner', 'y': 2015, 'sim': 56.0, 'fant': 0.43}, {'p': 'Hassan Haskins', 'y': 2022, 'sim': 49.0, 'fant': 0.298}, {'p': 'Javorius Allen', 'y': 2015, 'sim': 49.0, 'fant': 0.715}, {'p': 'Brian Robinson Jr.', 'y': 2022, 'sim': 48.0, 'fant': 0.825}, {'p': 'Daniel Lasco', 'y': 2016, 'sim': 47.0, 'fant': 0.092}, {'p': 'Jordan Wilkins', 'y': 2018, 'sim': 47.0, 'fant': 0.382}]"
Matt Jones,2015,historical,0,,6,0.5032679738562091,0.10457516339869281,25.670229277444804,8.858883473199562,-0.48410511765446573,0,0,0,0,,0.7192982456140351,95.0,21.82067077344285,21.607118412046542,0.1858496877787689,0.0301065308012968,4.818181818181818,0.0045,0.2504970969537898,882.0,0.3293650793650793,4.0,"[{'p': 'Brian Robinson Jr.', 'y': 2022, 'sim': 62.0, 'fant': 0.825}, {'p': 'Kendall Milton', 'y': 2024, 'sim': 62.0, 'fant': None}, {'p': 'Hassan Haskins', 'y': 2022, 'sim': 60.0, 'fant': 0.298}, {'p': ""Ja'Quinden Jackson"", 'y': 2025, 'sim': 60.0, 'fant': None}, {'p': 'CJ Donaldson', 'y': 2026, 'sim': 59.0, 'fant': None}, {'p': 'Roschon Johnson', 'y': 2023, 'sim': 58.0, 'fant': 0.539}]"
Jeremy Langford,2015,historical,0,,7,0.6666666666666666,0.29411764705882354,28.61129783639575,9.985585813238696,0.032853513938296094,0,0,0,0,,0.618421052631579,106.0,23.071868583162217,21.859000684462696,0.4015689941812136,0.0670367207514944,5.1421143847487,0.0965,0.5069208377189766,1584.0,0.5427509293680297,,"[{'p': 'Rasheen Ali', 'y': 2024, 'sim': 68.0, 'fant': None}, {'p': 'Chuba Hubbard', 'y': 2021, 'sim': 60.0, 'fant': 0.711}, {'p': 'Darius Jackson', 'y': 2016, 'sim': 59.0, 'fant': 0.092}, {'p': 'Roman Hemby', 'y': 2026, 'sim': 59.0, 'fant': None}, {'p': 'Joshua Kelley', 'y': 2020, 'sim': 58.0, 'fant': 0.461}, {'p': 'Jerome Ford', 'y': 2022, 'sim': 57.0, 'fant': 0.754}]"
Javorius Allen,2015,historical,0,,7,0.6339869281045751,0.1503267973856209,28.00414359902248,9.38013533623316,-0.02408414610117933,0,0,0,0,,0.7149122807017544,125.0,23.34839151266256,22.13552361396304,0.2682738745725667,0.1187759336099585,5.5299760191846525,,0.5951298959530885,1947.0,0.5369649805447471,4.0,"[{'p': 'Raheim Sanders', 'y': 2025, 'sim': 64.0, 'fant': None}, {'p': 'Devontae Booker', 'y': 2016, 'sim': 59.0, 'fant': 0.623}, {'p': 'Brian Robinson Jr.', 'y': 2022, 'sim': 59.0, 'fant': 0.825}, {'p': 'Omarion Hampton', 'y': 2025, 'sim': 57.0, 'fant': None}, {'p': 'Jordan Wilkins', 'y': 2018, 'sim': 56.0, 'fant': 0.382}, {'p': 'Jay Ajayi', 'y': 2015, 'sim': 56.0, 'fant': 0.816}]"
Mike Davis,2015,historical,0,,7,0.6405228758169934,0.5359477124183006,28.06298621196848,10.553776933365029,-0.02929525805539547,0,0,0,0,,0.4780701754385965,126.0,21.86447638603696,20.65160848733744,0.2263338942857058,0.1066666666666666,5.3744493392070485,0.191,0.2743985083820445,1535.0,0.4207188160676532,4.0,"[{'p': 'Zack Moss', 'y': 2020, 'sim': 63.0, 'fant': 0.614}, {'p': 'Dameon Pierce', 'y': 2022, 'sim': 62.0, 'fant': 0.706}, {'p': 'Khalil Herbert', 'y': 2021, 'sim': 62.0, 'fant': 0.675}, {'p': 'David Montgomery', 'y': 2019, 'sim': 60.0, 'fant': 0.921}, {'p': ""D'Andre Swift"", 'y': 2020, 'sim': 59.0, 'fant': 0.904}, {'p': 'Corey Clement', 'y': 2017, 'sim': 58.0, 'fant': 0.553}]"
David Cobb,2015,historical,0,,6,0.5490196078431373,0.41830065359477125,26.40019038333071,10.328295138153063,-0.14580362988061224,0,0,0,0,,0.27631578947368424,138.0,21.579739904175224,20.366872005475702,0.3670159934085035,0.1047865459249676,5.143872113676732,0.0955,0.6522529639029281,1791.0,0.5555555555555556,3.0,"[{'p': 'Alexander Mattison', 'y': 2019, 'sim': 63.0, 'fant': 0.588}, {'p': 'David Montgomery', 'y': 2019, 'sim': 62.0, 'fant': 0.921}, {'p': 'Kevin Harris', 'y': 2022, 'sim': 60.0, 'fant': 0.32}, {'p': 'Tyler Allgeier', 'y': 2022, 'sim': 59.0, 'fant': 0.662}, {'p': 'Jordan Howard', 'y': 2016, 'sim': 58.0, 'fant': 0.86}, {'p': 'Zack Moss', 'y': 2020, 'sim': 58.0, 'fant': 0.614}]"
